Forecaster, Cumulative Accuracy, Average Score, 101: US April, , ,104: China April, , ,201: France April, , ,204: Italy April
 , , ,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate
Forecaster #2395,0.741, 0.697,0.156,-0.075,82%,1.122,0.184,82%,0.675,0.13,92%,0.834,0.502,92%
Forecaster #2240,0.757, 0.878,0.843,0.403,68%,0.726,-0.115,68%,1.065,0.469,88%,no forecast,no forecast,0%
Forecaster #2199,0.792, 0.705,0.184,-0.061,96%,1.186,0.277,96%,0.508,-0.023,92%,0.941,0.599,91%
Forecaster #2048,0.800, 0.752,0.157,-0.088,96%,1.01,0.109,96%,1.196,0.506,76%,0.645,0.273,76%
Forecaster #2227,0.805, 0.700,0.41,0.156,96%,1.31,0.398,96%,0.582,0.047,96%,0.499,0.204,96%
Forecaster #2124,0.813, 0.681,1.041,0.758,96%,1.041,0.138,96%,0.644,0.053,48%,0,-0.136,48%
Forecaster #2522,0.815, 0.704,0.657,0.392,96%,1.034,0.132,96%,0.71,0.169,95%,0.414,0.122,95%
Forecaster #2337,0.902, 0.736,0.508,0.25,96%,0.704,-0.179,93%,1.039,0.46,91%,0.694,0.371,91%
Forecaster #2356,0.954, 0.746,0.561,0.282,90%,1.11,0.193,90%,0.855,0.312,97%,0.459,0.167,97%
Forecaster #2392,0.959, 0.759,0.61,0.323,89%,1.29,0.352,89%,0.992,0.412,90%,0.143,-0.128,90%
Forecaster #2127,1.044, 0.818,0.792,0.456,84%,0.821,-0.063,84%,0.887,0.275,78%,0.771,0.376,78%
Forecaster #2034,1.075, 0.824,0.455,0.199,96%,1.256,0.345,96%,0.82,0.2,69%,0.763,0.331,69%
Forecaster #2020,1.081, 0.724,0.893,0.635,98%,1.366,0.462,98%,0.397,-0.012,9%,0.238,-0.004,9%
Forecaster #2101,1.083, 0.764,0,-0.137,55%,1.14,0.135,55%,0.794,0.258,99%,1.122,0.827,99%
Forecaster #2320,1.122, 0.788,0.514,0.257,97%,0.917,0.02,97%,0.994,0.432,94%,0.727,0.413,94%
Forecaster #2391,1.132, 0.878,0.601,0.208,59%,0.832,-0.038,59%,1.085,0.421,76%,0.994,0.541,76%
Forecaster #2168,1.204, 1.179,1.29,1.034,99%,1.068,0.17,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2336,1.254, 0.825,0.483,0.221,94%,1.331,0.41,94%,0.532,-0.001,94%,0.955,0.624,93%
Forecaster #2251,1.298, 0.841,0.741,0.483,98%,0.907,0.01,98%,1.007,0.425,90%,0.71,0.38,90%
Forecaster #2118,1.549, 0.938,0.418,0.147,87%,1.331,0.377,87%,1.034,0.491,98%,0.969,0.534,78%
Forecaster #2274,1.899, 0.982,0.829,0.577,99%,1.02,0.123,99%,1.252,0.683,95%,0.829,0.516,95%
Forecaster #2225,2.021, 1.030,0.579,0.307,93%,1.375,0.445,93%,1.339,0.758,94%,0.829,0.511,94%
